"GPOName","DriveLetter","SharePath","Label"
"","","",""
"MapNetworkDrive_BJ",,,
"MapNetworkDrive_BJ",,,
"MapNetworkDrive_BJ",,,
"MapNetworkDrive_BJ",,,
"MapNetworkDrive_BJ",,,
"MapNetworkDrive_BJ",,,
"MapNetworkDrive_BJ",,,
"MapNetworkDrive_BJ",,,
"MapNetworkDrive_BJ",,,
"MapNetworkDrive_BJ",,,
"MapNetworkDrive_BJ",,,
"MapNetworkDrive_BJ",,,
"MapNetworkDrive_BJ",,,
"MapNetworkDrive_BJ",,,
"MapNetworkDrive_BJ",,,
"MapNetworkDrive_BJ",,,
"MapNetworkDrive_BJ","J","\\bjfs01\bjprojects","\\BJFS01\BJPROJECTS"
"MapNetworkDrive_BJ","K","\\bjfs01\bjexec","\\BJFS01\BJEXEC"
"MapNetworkDrive_BJ","L","\\bjfs01\BJForms","\\BJFS01\BJFORMS"
"MapNetworkDrive_BJ","M","\\MARKETING\MPLSMarketing","MARKETING"
"MapNetworkDrive_BJ","N","\\bjfs01\bjacct","\\BJFS01\BJACCT"
"MapNetworkDrive_BJ","O","\\bjfs01\bjadmin","\\BJFS01\Admin"
"MapNetworkDrive_BJ","P","\\PORTFOLIO\imaging","\\PORTFOLIO\Imaging"
"MapNetworkDrive_BJ","Q","\\MPLSFS01\MPLSQMS","\\COLO02\MPLSQMS"
"MapNetworkDrive_BJ","U","\\bjfs01\bjusers\%LogonUser%",""
"MapNetworkDrive_BJ","W","\\BJFS01\BJWELLNESS","\\BJFS01\BJWELLNESS"
"MapNetworkDrive_BJ","X","\\mplsfs01\MPLSKAEvents","\\mplsfs01\MPLSKAEvents"
"MapNetworkDrive_BJ","Y","\\bjfs01\bjyard","\\BJFS01\BJYARD"
"MapNetworkDrive_BJ","V","\\mplsfs01\OwnerContracts","OwnerContracts"
"MapNetworkDrive_BJ","O","\\colofs01\OSTData","OST"
"MapNetworkDrive_CP",,,
"MapNetworkDrive_CP",,,
"MapNetworkDrive_CP",,,
"MapNetworkDrive_CP",,,
"MapNetworkDrive_CP",,,
"MapNetworkDrive_CP",,,
"MapNetworkDrive_CP",,,
"MapNetworkDrive_CP",,,
"MapNetworkDrive_CP",,,
"MapNetworkDrive_CP",,,
"MapNetworkDrive_CP",,,
"MapNetworkDrive_CP",,,
"MapNetworkDrive_CP",,,
"MapNetworkDrive_CP",,,
"MapNetworkDrive_CP",,,
"MapNetworkDrive_CP",,,
"MapNetworkDrive_CP",,,
"MapNetworkDrive_CP",,,
"MapNetworkDrive_CP",,,
"MapNetworkDrive_CP",,,
"MapNetworkDrive_CP",,,
"MapNetworkDrive_CP",,,
"MapNetworkDrive_CP",,,
"MapNetworkDrive_CP",,,
"MapNetworkDrive_CP",,,
"MapNetworkDrive_CP",,,
"MapNetworkDrive_CP",,,
"MapNetworkDrive_CP",,,
"MapNetworkDrive_CP","L","\\CPFS01\CPForms","\\CPFS01\CPForms"
"MapNetworkDrive_CP","J","\\mplsfs01\MPLSProjects","MPLSProjects"
"MapNetworkDrive_CP","W","\\CPFS01\CPWellness","\\CPFS01\CPWellness"
"MapNetworkDrive_CP","T","\\CPFS01\CPMidwestdata","\\CPFS01\CPMidwestdata"
"MapNetworkDrive_CP","Q","\\MPLSFS01\MPLSQMS","\\COLO02\MPLSQMS"
"MapNetworkDrive_CP","X","\\mplsfs01\MPLSKAEvents","\\mplsfs01\MPLSKAEvents"
"MapNetworkDrive_CP","U","\\CPFS01\CPUsers\%LogonUser%","\\CPFS01\CPUsers\%LogonUser%"
"MapNetworkDrive_CP","N","\\CPFS01\CPACCT","\\CPFS01\CPACCT"
"MapNetworkDrive_CP","I","\\CPFS01\CPSubInsurance","\\CPFS01\CPSubInsurance"
"MapNetworkDrive_CP","R","\\CPFS01\CPAdmin","\\CPFS01\CPAdmin"
"MapNetworkDrive_CP","I","\\CPFS01\CPIT","\\CPFS01\CPIT"
"MapNetworkDrive_CP","M","\\marketing\MPLSMarketing","\\marketing\MPLSMarketing"
"MapNetworkDrive_CP","P","\\PORTFOLIO\Imaging","\\PORTFOLIO\Imaging"
"MapNetworkDrive_CP","G","\\CPFS01\CPField","\\CPFS01\CPField"
"MapNetworkDrive_CP","Y","\\CPFS01\CPYard","\\CPFS01\CPYard"
"MapNetworkDrive_CP","P","\\CPFS01\KAU","\\CPFS01\KAU"
"MapNetworkDrive_CP","K","\\CPFS01\CPEXEC","\\CPFS01\CPEXEC"
"MapNetworkDrive_CP","N","\\MPLSFS01\CORPHR","\\MPLSFS01\CORPHR"
"MapNetworkDrive_CP","I","\\CPFS01\CPHR","\\CPFS01\CPHR"
"MapNetworkDrive_CP","G","\\CPFS01\KAU","\\CPFS01\KAU"
"MapNetworkDrive_CP","S","\\ka-abmp-cp\scantofile","\\ka-abmp-cp\scantofile"
"MapNetworkDrive_CP","I","\\CPFS01\CPSubInsurance","\\CPFS01\CPSubInsurance"
"MapNetworkDrive_CP","I","\\CPFS01\CPSubInsurance","\\CPFS01\CPSubInsurance"
"MapNetworkDrive_CP","O","\\colofs01\OSTData","\\colofs01\OSTData"
"MapNetworkDrive_CP","V","\\mplsfs01\OwnerContracts","OwnerContracts"
"MapNetworkDrive_CP","S","\\cpfs01\cprecruiting","\\CPFS01\CPRecruiting"
"MapNetworkDrive_DUL",,,
"MapNetworkDrive_DUL",,,
"MapNetworkDrive_DUL",,,
"MapNetworkDrive_DUL",,,
"MapNetworkDrive_DUL",,,
"MapNetworkDrive_DUL",,,
"MapNetworkDrive_DUL",,,
"MapNetworkDrive_DUL",,,
