"DirectoryPath","Exists","IsEmpty","ItemCount"
"\\mplsfs01\MPLSProjects\B-ACTIVE PROJECTS\00 SAMPLE PROJECT DIRECTORY\10 - CLOSEOUT\10-2 Documentation","Yes","Empty","0"
"\\mplsfs01\MPLSProjects\B-ACTIVE PROJECTS\00 SAMPLE PROJECT DIRECTORY\10 - CLOSEOUT\10-3 Punchlist","Yes","Empty","0"
"\\mplsfs01\MPLSProjects\B-ACTIVE PROJECTS\00 SAMPLE PROJECT DIRECTORY\02-Owner\2-3 Owner Change Orders","No","Empty","0"
"\\mplsfs01\MPLSProjects\B-ACTIVE PROJECTS\00 SAMPLE PROJECT DIRECTORY\05-Documents\5-0 Document Control Log","No","Empty","0"
"\\mplsfs01\MPLSProjects\B-ACTIVE PROJECTS\00 SAMPLE PROJECT DIRECTORY\05-Documents\5-1 Current Drawings-Specs","No","Empty","0"
"\\mplsfs01\MPLSProjects\B-ACTIVE PROJECTS\00 SAMPLE PROJECT DIRECTORY\05-Documents\5-2 Issued Documents","No","Empty","0"
"\\mplsfs01\MPLSProjects\B-ACTIVE PROJECTS\00 SAMPLE PROJECT DIRECTORY\05-Documents\5-3 RFIs","No","Empty","0"
"\\mplsfs01\MPLSProjects\B-ACTIVE PROJECTS\00 SAMPLE PROJECT DIRECTORY\05-Documents\5-4 Submittals","No","Empty","0"
"\\mplsfs01\MPLSProjects\B-ACTIVE PROJECTS\00 SAMPLE PROJECT DIRECTORY\05-Documents\5-5 LEED Submittals","No","Empty","0"
"\\mplsfs01\MPLSProjects\B-ACTIVE PROJECTS\00 SAMPLE PROJECT DIRECTORY\05-Documents\5-7 Constructability Reviews","No","Empty","0"
"\\mplsfs01\MPLSProjects\B-ACTIVE PROJECTS\00 SAMPLE PROJECT DIRECTORY\09 - FIELD OPERATIONS\9-1 Permits","Yes","Empty","0"
"\\mplsfs01\MPLSProjects\B-ACTIVE PROJECTS\00 SAMPLE PROJECT DIRECTORY\09 - FIELD OPERATIONS\9-9 Field Photos","Yes","Empty","0"
"\\mplsfs01\MPLSProjects\B-ACTIVE PROJECTS\00 SAMPLE PROJECT DIRECTORY\00-Project Directory","No","Empty","0"
"\\mplsfs01\MPLSProjects\B-ACTIVE PROJECTS\01 OWNER MASTER AGREEMENTS\10 - CLOSEOUT\10-2 Documentation","No","Empty","0"
"\\mplsfs01\MPLSProjects\B-ACTIVE PROJECTS\01 OWNER MASTER AGREEMENTS\10 - CLOSEOUT\10-3 Punchlist","No","Empty","0"
"\\mplsfs01\MPLSProjects\B-ACTIVE PROJECTS\01 OWNER MASTER AGREEMENTS\02-Owner\2-3 Owner Change Orders","No","Empty","0"
"\\mplsfs01\MPLSProjects\B-ACTIVE PROJECTS\01 OWNER MASTER AGREEMENTS\05-Documents\5-0 Document Control Log","No","Empty","0"
"\\mplsfs01\MPLSProjects\B-ACTIVE PROJECTS\01 OWNER MASTER AGREEMENTS\05-Documents\5-1 Current Drawings-Specs","No","Empty","0"
"\\mplsfs01\MPLSProjects\B-ACTIVE PROJECTS\01 OWNER MASTER AGREEMENTS\05-Documents\5-2 Issued Documents","No","Empty","0"
"\\mplsfs01\MPLSProjects\B-ACTIVE PROJECTS\01 OWNER MASTER AGREEMENTS\05-Documents\5-3 RFIs","No","Empty","0"
"\\mplsfs01\MPLSProjects\B-ACTIVE PROJECTS\01 OWNER MASTER AGREEMENTS\05-Documents\5-4 Submittals","No","Empty","0"
